status,detail_url,detail_title,detail_date_iso,decree_number,attachment_url,output_file,original_filename,content_type,bytes,sha256,error
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_A_Bis_Scheda_censimento_1.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_A_Bis_Scheda_censimento_1.pdf,Allegato_A_Bis_Scheda_censimento_1.pdf,application/pdf,537475,c1eee52a7be05001b105e2925b4351b491a290ebcaa92c47244a26bd8bb4de91,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_B_Bis_Nuove_Schede_difettosita_1.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_B_Bis_Nuove_Schede_difettosita_1.pdf,Allegato_B_Bis_Nuove_Schede_difettosita_1.pdf,application/pdf,1504038,a03d54dd72ea302aeec9c90f5eaf87d13b9cf583db85ff4e29659e123ed4b6e6,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_B_Bis_Scheda_descrittiva_di_ispezione_v2.0_1.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_B_Bis_Scheda_descrittiva_di_ispezione_v2.0_1.pdf,Allegato_B_Bis_Scheda_descrittiva_di_ispezione_v2.0_1.pdf,application/pdf,527044,f97ca7306001f1c74f338816ab4dfa6df19055c43950a880d1727196f31a25f2,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_B_Bis_Scheda_di_ispezione_L1_Frane_v2.0_1.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_B_Bis_Scheda_di_ispezione_L1_Frane_v2.0_1.pdf,Allegato_B_Bis_Scheda_di_ispezione_L1_Frane_v2.0_1.pdf,application/pdf,449102,6b10a3a1afc98753ebcfeaea5638e05096a7ddcc4a264c79a3f8ae619a5e74b3,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_B_Bis_scheda_ispezione_L1_idraulica_v2.0_1.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_B_Bis_scheda_ispezione_L1_idraulica_v2.0_1.pdf,Allegato_B_Bis_scheda_ispezione_L1_idraulica_v2.0_1.pdf,application/pdf,389682,13752120b5b1456e5c3f0700cf37cf269e4408afccc8738fd8245b4767619ca8,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_D_Bis_Scheda_Ispezione_Speciale_Frane_1.pdf,C:\Users\lanceschi\OneDrive - ENGINE\3-PRODOTTI\Engine sales copilot\DEV\decreti_pipeline\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_D_Bis_Scheda_Ispezione_Speciale_Frane_1.pdf,Allegato_D_Bis_Scheda_Ispezione_Speciale_Frane_1.pdf,application/pdf,291724,db613c844e1f12fbd767ab52b0c0165d6317ac5b6af13af7734bef1cf278063b,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_D_Bis_Scheda_ispezione_speciale_ponti_cavi_post-tesi_1.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_D_Bis_Scheda_ispezione_speciale_ponti_cavi_post-tesi_1.pdf,Allegato_D_Bis_Scheda_ispezione_speciale_ponti_cavi_post-tesi_1.pdf,application/pdf,614175,0e2155da1746b8d18bece9daa6cab72a3b1bc57aa62c4d94441778a5c32576ab,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_E_-_Scheda_Indicatori_Ispezione_Speciale_Idraulica_1.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_E_-_Scheda_Indicatori_Ispezione_Speciale_Idraulica_1.pdf,Allegato_E_-_Scheda_Indicatori_Ispezione_Speciale_Idraulica_1.pdf,application/pdf,273496,f7b685dca3c28389f7d261f987eb132958d36b148221edaed5dac27969d3ba39,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_F-_Ispezioni_speciali_e_valutazione_preliminare_L3_per_il_rischio_idraulico_rev250602_1_.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_F-_Ispezioni_speciali_e_valutazione_preliminare_L3_per_il_rischio_idrau.pdf,Allegato_F-_Ispezioni_speciali_e_valutazione_preliminare_L3_per_il_rischio_idraulico_rev250602_1_.pdf,application/pdf,359235,b915d61b7db3cc9193f41b9792bf8e8bb2b1bd24508ba5d0404daf5e908d74ea,
OK,https://www.mit.gov.it/normativa/decreto-del-presidente-del-consiglio-superiore-dei-lavori-pubblici-n-413-del-5112025,Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5/11/2025,20251105,413,https://www.mit.gov.it/nfsmitgov/files/media/normativa/2025-11/Allegato_G_Ispezioni_Speciali_e_Progetto_della_Conoscenza_relative_al_rischio_frane_definitivo.pdf,C:\download_mit\20251105-Decreto del Presidente del Consiglio superiore dei lavori pubblici n. 413 del 5-11-2025 - Allegato_G_Ispezioni_Speciali_e_Progetto_della_Conoscenza_relative_al_rischio_fr.pdf,Allegato_G_Ispezioni_Speciali_e_Progetto_della_Conoscenza_relative_al_rischio_frane_definitivo.pdf,application/pdf,612411,6d80e92e6b5bde59e49f46e01360bbafec9ed6b11380ba54af5b7d3b64333f9d,
